ANALYST,DATE,BROKER,RATING,RECOMMENDATION,TARGET_PRICE,BBTICKER,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME
Jamrgett,3/5/2020,Beerg,5,buy,122,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Joneeney,3/3/2020,Corch,3,equalweight,105,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
MarDeboo,3/2/2020,Jeies,3,hold,105,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Niclberg,3/1/2020,Lirum,3,hold,107,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Antpagna,2/27/2020,ISEVA,5,overweight,-2.42E-14,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Laurisot,2/26/2020,Alope,4,add,113,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Ricaylor,2/25/2020,Moley,5,Overwt/In-Line,120,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Lauandet,2/25/2020,Guies,5,buy,114,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
DavHayes,2/24/2020,Soale,5,buy,120,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Valtaldy,2/24/2020,DaDay,5,buy,121.95,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Alaskine,2/21/2020,Crsse,3,neutral,103,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Celnnuti,2/19/2020,J.gan,5,overweight,120,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Gerpisch,2/18/2020,Laerg,3,hold,103,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Larbrink,2/18/2020,InmbH,3,hold,115,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Alahuber,2/18/2020,Ma AG,5,buy,122,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
JamJones,2/17/2020,RBets,1,underperform,91,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Nikliver,2/17/2020,UBUBS,5,buy,120,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Andn Arx,2/14/2020,Bavea,4,add,115,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Jerialko,2/14/2020,HSSBC,3,hold,108,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Pieegner,2/14/2020,OdBHF,5,buy,118,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Jeatschy,2/14/2020,Ba AG,5,buy,116,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Jonn Cox,2/14/2020,Keeux,5,buy,120,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Virumage,2/14/2020,Br Co,3,neutral,103,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Warerman,2/14/2020,Baays,5,overweight,115,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Cedsnard,2/13/2020,Ciiti,5,buy,117,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Ioatikis,2/13/2020,MoInc,1,sell,91,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Axeghaus,2/13/2020,DZ AG,3,hold,110,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
JefStent,2/13/2020,Exbas,1,underperform,103,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Evahiele,2/4/2020,Deank,3,hold,120,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
And Wood,1/13/2020,Beein,3,market perform,101,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
JohEnnis,11/28/2019,Gochs,5,buy,115,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Tritrien,10/11/2019,Reted,3,neutral,-2.42E-14,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Stengnau,6/18/2019,Eroup,5,buy,-2.42E-14,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Laurdron,10/19/2017,InmbH,3,hold,92,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
DevMehra,5/12/2016,Fiing,5,long-term outperform,82,NESN SW Equity,Consumer Staples,"Food, Beverage & Tobacco"
Ricosser,3/9/2020,J.gan,5,overweight,375,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Eriigaud,3/6/2020,Br Co,5,buy,360,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Emmdakis,3/6/2020,Baays,5,overweight,385,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
And Baum,3/5/2020,Ciiti,5,buy,395,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
SurGupta,3/5/2020,Alope,2,reduce,342,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Damnover,3/4/2020,MoInc,5,buy,381,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Marrcell,3/2/2020,Moley,5,Overwt/In-Line,360,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Valtaldy,3/2/2020,DaDay,5,buy,377.42,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
GraDoyle,3/1/2020,Lirum,3,hold,300,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Mateston,2/26/2020,Crsse,3,neutral,350,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Olailian,2/25/2020,Miies,5,buy,389,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Keyarekh,2/20/2020,Gochs,5,buy,400,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Timerson,2/18/2020,Worch,3,peerperform,331,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Petlford,2/10/2020,Jeies,5,buy,370,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Micchten,2/6/2020,UBUBS,5,buy,350,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Narouhan,2/5/2020,Inlth,5,buy,350,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Ricarkes,2/4/2020,Deank,5,buy,350,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Tobchalt,2/4/2020,InmbH,3,hold,333,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
DavEvans,2/4/2020,Keeux,3,hold,272,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Timchner,2/3/2020,Laerg,5,buy,360,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Steeider,2/3/2020,Ba AG,5,buy,367,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Martures,1/30/2020,OdBHF,2,reduce,266,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
ElmKraus,1/30/2020,DZ AG,3,hold,316,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Micacock,1/30/2020,Ma AG,5,buy,370,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
SteGarry,1/27/2020,HSSBC,2,reduce,234,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
SimBaker,1/10/2020,Reted,3,neutral,-2.42E-14,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
JusSmith,11/21/2019,Soale,3,hold,285,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Luiector,10/21/2019,Exbas,1,underperform,260,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Johaszak,1/28/2019,Arorp,5,buy,39.64,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
HanEngel,6/12/2018,Eroup,3,hold,-2.42E-14,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Amit Roy,3/27/2018,FoLLP,1,underweight,235,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Casy Lea,3/23/2018,ISEVA,5,buy,-2.42E-14,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
BruBulic,10/19/2017,Bavea,3,hold,231,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Beringer,10/19/2017,InmbH,5,buy,300,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Tarndran,8/9/2017,Shers,NA,not rated,-2.42E-14,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Marnther,6/9/2016,Hasse,5,buy,-2.42E-14,ROG SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
Eriigaud,3/6/2020,Br Co,5,buy,107,NOVN SW Equity,Health Care,"Pharmaceuticals, Biotechnology"
